word,transliteration,definition,quote_ggs
ਦਰਗਹ,dargeh,court,ਜਿਤੁ ਸਿੇਵਐ ਸੁਖੁ ਪਾਈਐ ਤੇਰੀ ਦਰਗਹ ਚਲੈ ਮਾਣੁ ।।
ਧਰਮ ਰਾਇ,dharam raai,righteous judge (hindu mythology) who judges all beings,ਧਰਮ ਰਾਇ ਜਬ ਪਕਰਿਸ ਬਵਰੇ ਤਬ ਕਿਆ ਜਬਾਬੁ ਕਰੇਇ ।।
ਧਰਮ,dharam,"righteous actions, duty, religion",ਜੋ ਧਰਮੁ ਕਮਾਵੈ ਤਿਸੁ ਧਰਮ ਨਾਉ ਹੋਵੈ ਪਿਾਪ ਕਮਾਣੈ ਪਾਪੀ ਜਾਣੀਐ ।।
ਦਰਸਨ,darsan,"vision, experience of being in Presence",ਦਰਸਨ ਦਿੇਖ ਸੀਤਲ ਮਨ ਭਏ ।।
ਦਰ,dar,"door, portal",ਮਨੁ ਤਨੁ ਧਨੁ ਅਪੁਨਾ ਕਰਿ ਜਾਨਿਆ ਕੀ ਖਬਰਿ ਨ ਪਾਈ ।।
ਧੂਰਿ,dhoor,dust,ਤੀਰਥ ਵਰਤ ਲਖ ਸੰਜਮਾ ਪਾਈਐ ਸਾਧੂ ਧੂਰਿ ।।
ਦੂਜਾ,doojaa,"second, other, duality",ਤੁਝ ਬਿਨੁ ਦੂਜਾ ਕੋਈ ਨਿਾਹ ।।
ਦੁਰਮਤਿ,durmat,evil mindedness,ਦੁਰਮਤਿ ਮੈਲੁ ਗਈ ਸਭ ਤਿਨ ਕੀ ਜੋ ਰਾਮ ਨਾਮ ਰੰਗਿ ਰਾਤੇ ।।
ਧੁਰ,dhur,"destined, primal",ਧੁਰ ਕੀ ਬਾਣੀ ਆਈ ।।
ਦੁਖ,dukh,"suffering, unhappiness",ਸੁਪਨੈ ਸੁਖੁ ਨ ਪਾਵਈ ਦੁਖ ਮਿਹ ਸਵੈ ਸਮਾਇ ।।
ਦਾਨੁ,daan,"charity, gift",ਤੀਰਥੁ ਤਪੁ ਦਇਆ ਦਤੁ ਦਾਨੁ ।।
ਦਾਤਾ,daataa,giver,ਸਭਨਾ ਜੀਆ ਕਾ ਇਕੁ ਦਾਤਾ ਸੋ ਮੈ ਵਿਸਿਰ ਨ ਜਾਈ ।।
ਦਾਸ,daas,"servent, slave; devoted",ਦਾਸ ਅ ਪਨੇ ਕੀ ਰਾਖਨਹਾਰ ।।
ਧਾਵਤ,dhaavat,running,ਧਾਵਤ ਮਨੂਆ ਆਵੈ ਠਾਇ ।।
ਦੇਸ,des,"abode, country, land",ਦਰ ਘਰ ਮਹਲਾ ਹਸਤੀ ਘੋੜੇ ਛਿੋਡ ਵਿਲਾਇਤ ਦੇਸ ਗਏ ।।
