word,transliteration,definition,quote_ggs
ੳਟ,ot,support,ਸਾਸ ਸਾਸ ਤੇਰੇ ਗੁਣ ਗਾਵਾ ੳਟ ਨਾਨਕ ਗੁਰ ਚਰਣਾ ਜੀਉ ।।
"ੲੇਕ, ਿੲਕ",ek,one,ਨਾਨਕ ੲੇਕ ਕਹੈ ਅਰਦਾਸਿ ।।
ਡਰਿ,dhar,fear,ਸੋ ਡਰੁ ਕੇਹਾ ਜਿਤੁ ਡਰੁ ਪਾਇ ।।
ਗਤਿ,gat,"state, emancipation",ਮੰਨੇ ਕੀ ਗਤਿ ਕਹੀ ਨ ਜਾਇ ।।
"ਘਰਿ, ਘਰ",ghar,home,ਦੁਖੁ ਪਰਹਰਿ ਸੁਖੁ ਘਰਿ ਲੈ ਜਾਇ ।।
ਗਲ,gal,"thing, talk",ਸਭੇ ਗਲਾ ਜਾਤੀਆ ਸੁਣਿ ਕੈ ਚੁਪ ਕੀਆ ।।
ਘਨੇਰੇ,ghanere,"lots, great",ਤੁਮਰੀ ਿਕ੍ਰਪਾ ਤੇ ਸੂਖ ਘਨੇਰੇ ।।
ਗੋਬਿਦ,gobid,God,ਛਾਤੀ ਸੀਕਲ ਮਨੁ ਸੁਖੀ ਛੰਤ ਗੋਬਿਦ ਗੁਨ ਗਾਇ ।।
ਗੋਪਾਲ,gopaal,"God, cherisher of the world",ਗੁਣ ਗੋਪਾਲ ਗਾਈਅਹਿ ਦਿਨੁ ਰਾਤੀ ।।
ਗਰਭ,garabh,womb,ਮਾਤ ਗਰਭ ਮਹਿ ਤੁਮ ਹੀ ਪਾਲਾ ।।
ਗਰੀਬ,gareeb,"poor, humble",ਹਮ ਗਰੀਬ ਮਸਕੀਨ ਪ੍ਰਭ ਤੇਰੇ ਹਰਿ ਰਾਖੁ ਰਾਖੁ ਵਡ ਵਡਾ ਹੇ ।।
ਘ਼਼਼਼ਟੁ,ghat,"vessel, heart, being",ਕਹੁ ਕਬੀਰ ਛੂਛਾ ਘਟੁ ਬੋਲੈ ।।
"ਗੁਨ, ਗੁਣ",gun,"quality, merit, value",ਸੰਤਹ ਸੰਗਿ ਬੈਸਿ ਗੁਨ ਗਾਇ ।।
ਗੁਰਮਤਿ,gurmat,"the Guru’s teaching, wisdom",ਸਚੀ ਕਾਰੈ ਸਚੁ ਮਿਲੈ ਗੁਰਮਤਿ ਪਲੈ ਪਾਇ ।।
ਗੁਰਮੁਖਿ,gurmukh,in tune with the Guru,ਗੁਰਮੁਖਿ ਲਾਧਾ ਮਨਮੁਖਿ ਗਵਾਇਆ ।।
