word,transliteration,definition,quote_ggs
ਭਾਣਾ,bhaana,Will,ਜੋ ਤਿਸੁ ਭਾਣਾ ਸੋਈ ਹੂਆ ।।
ਬੇਅੰਤ,beyant,infinite; without end,ਤੂੰ ਪਾਰਬ੍ਰਹਮੁ ਬੇਅੰਤ ਬੇਅੰਤ ਜੀ ਤੇਰੇ ਕਿਆ ਗੁਣ ਆਖਿ ਵਖਾਣਾ ।।
"ਬੇਦ, ਵੇਦ",bed/ved,Vedas (hindu scripture),ਕੇਤੇ ਪੰਡਿਤ ਜੋਤਕੀ ਬੇਦਾ ਕਰਹਿ ਬੀਚਾਰੁ ।।
ਬੇਨਤੀ,bentee,"prayer, request",ਕਰਉ ਬੇਨਤੀ ਪਾਰਬ੍ਰਹਮੁ ਸਭੁ ਜਾਨੈ ।।
ਭੈ,bhai,fear (synonym of bhau),ਗੁਰੁ ਪਰਮੇਸਰੁ ਸੇਵਿਆ ਭੈ ਭੰਜਨੁ ਦੁਖ ਲਥੁ ।।
ਛੋਡਿ,chhoD,"abandon, leave",ਮਨ ਰੇ ਹਉਮੈ ਛੋਡਿ ਗੁਮਾਨੁ ।।
ਚਤੁਰ,chatur,"clever, intelligent",ਛਾਡਿ ਸਿਆਨਪ ਬਹੁ ਚਤੁਰਾਈ ।।
ਚਰਨ,charan,feet (symbolizes devotion/humility),ਗੁਰ ਕੇ ਚਰਨ ਮਨ ਮਹਿ ਧਿਆਇ ।।
ਚਾਨਣੁ,chaanan,light,ਕਰਿ ਚਾਨਣੁ ਸਾਹਿਬ ਤਉ ਮਿਲੈ ।।
ਦੀਆ,deeaa,gave,ਤਨੁ ਮਨੁ ਗੁਰ ਪਹਿ ਵੇਚਿਆ ਮਨੁ ਦੀਆ ਸਿਰੁ ਨਾਲਿ ।।
ਦਇਆਲ,daiaal,"kind, generous",ਜਿਸ ਨਉ ਆਪਿ ਦਇਆਲ ਹੋਇ ਸੋ ਗੁਰਮੁਖਿ ਨਾਮਿ ਸਮਾਇ ।।
ਦਇਆ,daiaa,mercy,ਆਪ ਦਇਆ ਕਰਿ ਮੇਲਸੀ ਗੁਰ ਸਤਿਗੁਰ ਪੀਛੈ ਪਾਇ ।।
ਦੀਨ,deen,"poor, humble; religion, spiritual",ਹਮ ਬਾਰਿਕ ਦੀਨ ਕਰਹੁ ਪ੍ਰਤਿਪਾਲਾ ।।
ਧਨ,dhan,wealth; blessed,ਰਾਮ ਨਾਮ ਜਪਿ ਦਿਨਸੁ ਰਾਤਿ ਗੁਰਮੁਖਿ ਹਰਿ ਧਨੁ ਜਾਨੁ ।।
ਦਰਦੁ,darad,"pain, suffering",ਦੂਖੁ ਦਰਦੁ ਭਰਮੁ ਭਉ ਨਸਿਆ ।।
